text,category,value
Sample text 0,B,0.4987693692769747
Sample text 1,B,0.37837229242503434
Sample text 2,A,0.8725700267107832
Sample text 3,C,0.09383994675235796
Sample text 4,C,0.5171266204652576
Sample text 5,B,0.5893230505986388
Sample text 6,A,0.8844139852262995
Sample text 7,A,0.28644489691041486
Sample text 8,A,0.7364517027695128
Sample text 9,C,0.9024251442319848
Sample text 10,B,0.8110548770190997
Sample text 11,B,0.027657874788286185
Sample text 12,C,0.6340026695472368
Sample text 13,A,0.93313258149096
Sample text 14,C,0.9645022767315294
Sample text 15,C,0.7331468913240003
Sample text 16,B,0.16339901522671285
Sample text 17,A,0.6202060589429915
Sample text 18,A,0.060502776340617404
Sample text 19,A,0.08372705622875587
Sample text 20,C,0.731878965093288
Sample text 21,A,0.7970262871649759
Sample text 22,B,0.06371747315526088
Sample text 23,C,0.3882512711277658
Sample text 24,C,0.7357544627898787
Sample text 25,A,0.19182533531462298
Sample text 26,C,0.1634980478433986
Sample text 27,A,0.28766167091089767
Sample text 28,B,0.6882384477372526
Sample text 29,C,0.3355869809105969
Sample text 30,C,0.022324247002499464
Sample text 31,A,0.4927276184229419
Sample text 32,A,0.68192749716076
Sample text 33,A,0.6259904134464301
Sample text 34,B,0.14976421744116342
Sample text 35,A,0.17675703081187155
Sample text 36,C,0.9269509341142721
Sample text 37,A,0.5819217863224753
Sample text 38,C,0.174407481451457
Sample text 39,A,0.015306224784737532
Sample text 40,B,0.6926580336692265
Sample text 41,C,0.9863866725247362
Sample text 42,A,0.590755353032165
Sample text 43,B,0.9405252587000181
Sample text 44,A,0.47841939243578924
Sample text 45,A,0.1637666333402078
Sample text 46,A,0.7829423759551221
Sample text 47,B,0.3015045939976809
Sample text 48,A,0.38451313692679534
Sample text 49,B,0.6326996912927743
Sample text 50,C,0.6476603064630693
Sample text 51,A,0.17229572408828608
Sample text 52,C,0.7722915396922982
Sample text 53,B,0.7653310703544887
Sample text 54,C,0.1570676678789209
Sample text 55,C,0.8297748041374555
Sample text 56,A,0.7490619904681363
Sample text 57,A,0.5078448124868868
Sample text 58,A,0.2515412551791003
Sample text 59,A,0.15755313134073778
Sample text 60,C,0.9879787464628372
Sample text 61,C,0.6417995743940816
Sample text 62,B,0.01924851896494617
Sample text 63,A,0.8356824982344672
Sample text 64,A,0.8946656076344435
Sample text 65,A,0.8213228102693854
Sample text 66,C,0.3336111704320939
Sample text 67,B,0.8960226429634308
Sample text 68,C,0.3014235727871448
Sample text 69,B,0.7742096919303386
Sample text 70,C,0.35921875033909023
Sample text 71,C,0.3803548286667431
Sample text 72,B,0.8340774829952369
Sample text 73,C,0.1483736318236405
Sample text 74,A,0.7441491292434634
Sample text 75,A,0.4349115247748059
Sample text 76,A,0.8731143850438737
Sample text 77,C,0.4718679765303677
Sample text 78,C,0.6752098865541939
Sample text 79,A,0.19196385079771794
Sample text 80,C,0.5923327741106706
Sample text 81,B,0.38561824221123797
Sample text 82,B,0.9061149397176831
Sample text 83,A,0.7003276113061333
Sample text 84,B,0.5322019067661016
Sample text 85,A,0.0899754000875268
Sample text 86,A,0.8778524652014226
Sample text 87,B,0.39533249158751016
Sample text 88,B,0.2748806512414538
Sample text 89,A,0.8320695254323348
Sample text 90,B,0.9575901729535434
Sample text 91,A,0.03368550327984321
Sample text 92,B,0.017372537181654657
Sample text 93,B,0.9373642699726815
Sample text 94,B,0.08370713349828818
Sample text 95,B,0.4347567787506057
Sample text 96,A,0.6158686173993293
Sample text 97,C,0.2795275558018424
Sample text 98,A,0.9616893421036486
Sample text 99,C,0.05736873081942662
Sample text 100,C,0.1695031989163176
Sample text 101,B,0.3369710832095576
Sample text 102,B,0.7985110151864001
Sample text 103,A,0.6749645583487084
Sample text 104,A,0.41541137451071897
Sample text 105,A,0.19766045279036482
Sample text 106,A,0.03225098701342821
Sample text 107,B,0.2522668803480905
Sample text 108,C,0.3811691591880798
Sample text 109,B,0.6987856314446019
Sample text 110,C,0.8188549373861506
Sample text 111,C,0.3598914278120895
Sample text 112,C,0.5269155469944062
Sample text 113,A,0.22311613186059176
Sample text 114,C,0.42795749057487686
Sample text 115,C,0.19975088986848866
Sample text 116,A,0.3255336476619184
Sample text 117,B,0.5309000202868529
Sample text 118,A,0.8822516690586301
Sample text 119,B,0.7144020471711191
Sample text 120,A,0.4318991635617333
Sample text 121,B,0.039184313613633726
Sample text 122,C,0.31855760907853914
Sample text 123,B,0.9725739748127733
Sample text 124,B,0.8634948403080629
Sample text 125,A,0.08221344581892498
Sample text 126,A,0.23530883257617874
Sample text 127,A,0.039863549747436
Sample text 128,B,0.693321252465217
Sample text 129,B,0.8800855533938374
Sample text 130,B,0.028091381596921816
Sample text 131,A,0.6409019176001781
Sample text 132,A,0.15875940454558957
Sample text 133,A,0.5147635131090909
Sample text 134,C,0.7880187820009821
Sample text 135,A,0.08134251571572115
Sample text 136,A,0.7651232604790054
Sample text 137,A,0.15263029609169132
Sample text 138,A,0.09902027160428994
Sample text 139,A,0.6114374504671616
Sample text 140,C,0.02774184213830211
Sample text 141,B,0.27226272569223076
Sample text 142,B,0.8623379676451557
Sample text 143,A,0.4788722176689002
Sample text 144,C,0.9417158905859428
Sample text 145,A,0.39722197017283056
Sample text 146,A,0.2879150818515239
Sample text 147,B,0.49434156733230616
Sample text 148,C,0.976844511727802
Sample text 149,B,0.5637960620056278
Sample text 150,A,0.12072988691885767
Sample text 151,B,0.23639336073369666
Sample text 152,B,0.38164816470566154
Sample text 153,C,0.7234078990794793
Sample text 154,A,0.11498450685224859
Sample text 155,A,0.01440691707158026
Sample text 156,C,0.9580001286843547
Sample text 157,C,0.7196673942117555
Sample text 158,A,0.07773671693723572
Sample text 159,A,0.4951079566113594
Sample text 160,A,0.6383691934668514
Sample text 161,C,0.24548654028892902
Sample text 162,A,0.1226694887855414
Sample text 163,C,0.9523320079159493
Sample text 164,A,0.42451444441197883
Sample text 165,B,0.23431118428402353
Sample text 166,B,0.9777133836570213
Sample text 167,B,0.1700347283717888
Sample text 168,C,0.39841575143548447
Sample text 169,A,0.15494613678816294
Sample text 170,B,0.9532598358873596
Sample text 171,C,0.7500244857176084
Sample text 172,A,0.49341404136866596
Sample text 173,A,0.20645021267758068
Sample text 174,B,0.4139098963316167
Sample text 175,C,0.8339015713654784
Sample text 176,C,0.18570713618029666
Sample text 177,B,0.866688120652144
Sample text 178,B,0.48847836506138376
Sample text 179,B,0.37606063372205667
Sample text 180,A,0.999940124135649
Sample text 181,B,0.26021101512850786
Sample text 182,A,0.1705816019429961
Sample text 183,A,0.2827110919335978
